Application name,File Type,Timestamp,Emissions (gCO2eq),Duration,emissions_rate,CPU Power (KWh),GPU Power (KWh),RAM Power (KWh),CPU Energy (Wh),GPU Energy (KWh),RAM Energy (Wh),Energy Consumed (Wh),Test Results
module_a.py,.py,2024-09-13 21:11:40,2.792047781944275e-05,0,0.002258746514678085,14.0,0.0,2.92064380645752,4.3818685743543844e-05,0,0.0,4.3818685743543844e-05,Not a test file
module_b.py,.py,2024-09-13 21:11:46,2.8327528374195096e-05,0,0.002159356370426912,14.0,0.0,2.92064380645752,4.445751508076985e-05,0,0.0,4.445751508076985e-05,Not a test file
module_c.py,.py,2024-09-13 21:11:52,2.622627693979727e-05,0,0.0022561526432377443,14.0,0.0,2.92064380645752,4.025552007887098e-05,0,9.042693373354875e-07,4.115978941620647e-05,Not a test file
test_module_a.py,.py,2024-09-13 21:11:58,0.0018289660824198843,0.6056833267211914,0.002989745992695618,14.0,0.0,2.92064380645752,0.002379013432396783,0,0.0004913847935730095,0.0028703982259697925,Fail
test_module_b.py,.py,2024-09-13 21:12:04,6.930287018301398e-06,0.615776777267456,1.1160828523733541e-05,14.0,0.0,2.92064380645752,0.002414795292748345,0,0.0005004969270944079,0.002915292219842753,Fail
test_module_c.py,.py,2024-09-13 21:12:11,6.346432854053887e-06,0.5586707592010498,1.113907941157452e-05,14.0,0.0,2.92064380645752,0.00221567432085673,0,0.0004540140014766318,0.0026696883223333617,Fail
